Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Wed, May 3, 2023",8:00p,Philadelphia 76ers,87,Boston Celtics,121,Box Score,,"19,156",TD Garden,
"Thu, May 4, 2023",9:00p,Los Angeles Lakers,100,Golden State Warriors,127,Box Score,,"18,064",Chase Center,
"Fri, May 5, 2023",7:30p,Boston Celtics,114,Philadelphia 76ers,102,Box Score,,"21,29",Wells Fargo Center,
"Fri, May 5, 2023",10:00p,Denver Nuggets,114,Phoenix Suns,121,Box Score,,"17,071",Footprint Center,
"Sat, May 6, 2023",3:30p,New York Knicks,86,Miami Heat,105,Box Score,,"19,927",FTX Arena,
"Sat, May 6, 2023",8:30p,Golden State Warriors,97,Los Angeles Lakers,127,Box Score,,"18,997",Crypto.com Arena,
"Sun, May 7, 2023",3:30p,Boston Celtics,115,Philadelphia 76ers,116,Box Score,OT,"21,264",Wells Fargo Center,
"Sun, May 7, 2023",8:00p,Denver Nuggets,124,Phoenix Suns,129,Box Score,,"17,071",Footprint Center,
"Mon, May 8, 2023",7:30p,New York Knicks,101,Miami Heat,109,Box Score,,"19,769",FTX Arena,
"Mon, May 8, 2023",10:00p,Golden State Warriors,101,Los Angeles Lakers,104,Box Score,,"18,997",Crypto.com Arena,
"Tue, May 9, 2023",7:30p,Philadelphia 76ers,115,Boston Celtics,103,Box Score,,"19,156",TD Garden,
"Tue, May 9, 2023",10:00p,Phoenix Suns,102,Denver Nuggets,118,Box Score,,"19,773",Ball Arena,
"Wed, May 10, 2023",7:30p,Miami Heat,103,New York Knicks,112,Box Score,,"19,812",Madison Square Garden (IV),
"Wed, May 10, 2023",10:00p,Los Angeles Lakers,106,Golden State Warriors,121,Box Score,,"18,064",Chase Center,
"Thu, May 11, 2023",7:30p,Boston Celtics,95,Philadelphia 76ers,86,Box Score,,"21,337",Wells Fargo Center,
"Thu, May 11, 2023",10:00p,Denver Nuggets,125,Phoenix Suns,100,Box Score,,"17,071",Footprint Center,
"Fri, May 12, 2023",7:30p,New York Knicks,92,Miami Heat,96,Box Score,,"19,737",FTX Arena,
"Fri, May 12, 2023",10:00p,Golden State Warriors,101,Los Angeles Lakers,122,Box Score,,"18,997",Crypto.com Arena,
"Sun, May 14, 2023",3:30p,Philadelphia 76ers,88,Boston Celtics,112,Box Score,,"19,156",TD Garden,
"Tue, May 16, 2023",8:30p,Los Angeles Lakers,,Denver Nuggets,,,,,Ball Arena,
"Wed, May 17, 2023",8:30p,Miami Heat,,Boston Celtics,,,,,TD Garden,
"Thu, May 18, 2023",8:30p,Los Angeles Lakers,,Denver Nuggets,,,,,Ball Arena,
"Fri, May 19, 2023",8:30p,Miami Heat,,Boston Celtics,,,,,TD Garden,
"Sat, May 20, 2023",8:30p,Denver Nuggets,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Sun, May 21, 2023",8:30p,Boston Celtics,,Miami Heat,,,,,FTX Arena,
"Mon, May 22, 2023",8:30p,Denver Nuggets,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Tue, May 23, 2023",8:30p,Boston Celtics,,Miami Heat,,,,,FTX Arena,
"Wed, May 24, 2023",,Los Angeles Lakers,,Denver Nuggets,,,,,Ball Arena,
"Thu, May 25, 2023",,Miami Heat,,Boston Celtics,,,,,TD Garden,
"Fri, May 26, 2023",,Denver Nuggets,,Los Angeles Lakers,,,,,Crypto.com Arena,
"Sat, May 27, 2023",,Boston Celtics,,Miami Heat,,,,,FTX Arena,
"Sun, May 28, 2023",,Los Angeles Lakers,,Denver Nuggets,,,,,Ball Arena,
"Mon, May 29, 2023",,Miami Heat,,Boston Celtics,,,,,TD Garden,
